ordering,mse,r2,r2_yhat
000000,103.3724357142864,0.17950909035686624,0.19659816498417437
000001,108.02659365079414,0.1939132351945817,0.2163914458423275
000002,114.95522142857168,0.19704601440344305,0.22276490729901233
000010,124.46195000000026,0.1568706612903209,0.20856688111077548
000011,129.5819031746033,0.1657383527908931,0.21608504198348755
000012,135.5469206349207,0.17429070879737496,0.23112641492889263
000020,151.08588253968233,0.12972755590930551,0.18976504264868432
000021,157.20625238095198,0.13143268592906,0.20083600165045878
000022,165.1841277777773,0.1283570171443551,0.20611586645743907
000100,101.73718412698466,0.22139150063721502,0.20561999854768498
000101,107.08356269841309,0.22552109635096063,0.21326728523302685
000102,114.0664103174607,0.22399538052883783,0.2131278116742109
000110,121.1708333333336,0.19310928652321446,0.19835643463987362
000111,126.43964523809548,0.19695930439478682,0.2029346777387091
000112,133.1613523809526,0.1971404747500627,0.20613109053439316
000120,145.06163650793616,0.16646926264785722,0.1919369938766271
000121,150.33977222222185,0.16937010977997224,0.2016754880910051
000122,156.42819682539636,0.17270421286563076,0.2154295845545665
000200,104.71644841269865,0.2543916244103014,0.21599161047237148
000201,110.80647936507937,0.24937546236559127,0.21120182969515588
000202,119.78180634920629,0.23177637594019163,0.198262658693374
000210,123.02328650793667,0.22049900359195318,0.18988101441337735
000211,127.982807936508,0.2228346627078892,0.2012427268546363
000212,135.15101111111116,0.21724900730526098,0.20011382654941745
000220,142.90613730158697,0.20413133266244587,0.20431522920844436
000221,149.0664349206345,0.1989850241413471,0.20122626184936543
000222,154.6615865079362,0.2017904405800296,0.21217408196798426
001000,97.79803253968316,0.15557645912872675,0.17277768891422862
001001,104.31322222222265,0.15609356379166672,0.17618503447917866
001002,111.53812539682569,0.15836486707303787,0.1823084133055588
001010,118.49195396825432,0.1305106443075138,0.17282161994148437
001011,123.09102698412728,0.14371459489302763,0.18424794096592145
001012,128.92699761904777,0.15373948677876126,0.19518352904437453
001020,143.00805396825368,0.11228571408463262,0.17143610784899643
001021,149.6993166666663,0.11025891010171407,0.17308343622248779
